studentID,score_exam1,score_exam2,num_total_activities,num_exams,num_activity1,num_activity2,num_activity3,num_activity4
577,145,145,14,1,1,2,1,0
578,151,163,100,7,80,3,3,7
579,150,150,91,1,37,7,6,7
580,140,140,4,1,0,1,1,0
581,146,146,10,1,5,0,0,1
582,159,159,5,1,0,1,0,0
583,155,160,347,3,209,7,5,90
584,149,163,151,3,74,9,6,10
585,138,138,3,1,0,1,0,0
586,142,145,25,4,9,6,4,1
587,135,135,102,1,91,2,0,0
588,136,136,5,1,2,1,0,1
589,148,148,34,1,0,5,5,0
590,143,155,46,3,23,4,1,6
591,132,132,1,1,0,0,0,0
592,150,164,177,16,126,7,6,15
593,146,146,35,1,0,1,1,31
594,154,174,330,27,180,8,10,80
595,148,148,79,4,26,4,4,37
596,138,141,19,4,6,0,1,3
597,154,158,12,3,7,0,2,0
598,156,156,127,4,72,4,3,33
599,162,179,97,23,54,0,0,15
600,146,146,8,1,0,2,1,0
601,149,158,47,5,23,7,4,8
602,140,140,41,2,8,8,6,8
603,152,153,34,3,12,7,5,4
604,143,143,5,1,0,1,1,1
605,147,147,3,1,0,1,0,0
606,145,148,8,2,0,3,3,0
607,122,122,61,1,40,2,2,4
608,142,154,14,2,1,5,4,1
609,139,143,10,2,3,0,0,0
610,157,168,108,10,68,3,1,22
611,156,169,117,5,75,1,4,16
612,148,150,34,3,4,8,5,4
613,144,144,29,1,19,3,1,2
614,142,142,32,4,23,2,0,0
615,143,157,108,8,26,7,6,7
616,152,152,2,1,0,1,0,0
617,132,154,120,8,108,0,0,2
618,145,145,1,1,0,0,0,0
619,152,158,182,2,90,9,6,52
620,138,145,75,6,60,1,0,0
621,153,153,19,1,0,7,6,5
622,139,147,60,3,23,7,6,18
623,150,157,39,3,28,3,3,2
624,150,150,17,1,7,4,4,1
625,135,135,1,1,0,0,0,0
626,153,154,12,3,2,4,0,0
627,153,160,82,2,23,6,5,38
628,151,151,1,1,0,0,0,0
629,140,156,26,9,11,1,5,0
630,142,147,112,3,75,7,6,21
631,142,146,42,3,37,1,0,1
632,143,150,42,2,30,2,4,0
633,142,142,14,1,10,0,2,1
634,137,137,21,1,0,1,1,0
635,150,155,18,4,13,1,0,0
636,149,149,8,3,0,3,2,0
637,156,165,76,10,31,0,1,0
638,150,164,58,2,35,6,6,6
639,133,141,17,3,0,7,4,3
640,142,142,73,1,48,2,3,0
641,131,141,30,2,15,6,4,0
642,137,137,22,1,16,1,3,1
643,148,156,127,9,75,9,6,15
644,157,165,96,6,66,9,5,10
645,145,145,25,1,9,7,5,0
646,131,139,8,2,1,0,3,1
647,144,150,27,7,15,0,2,0
648,150,150,19,1,0,4,4,3
649,153,154,49,2,15,6,6,17
650,138,145,94,8,46,9,4,25
651,150,152,82,9,45,7,3,0
652,158,175,97,28,29,7,6,1
653,131,141,12,3,0,5,4,0
654,146,146,45,1,5,3,3,1
655,150,151,15,2,6,3,2,0
656,144,152,38,5,15,0,0,0
657,153,156,19,2,17,0,0,0
658,147,147,19,1,12,4,2,0
659,145,145,35,1,4,6,7,1
660,142,153,93,8,43,6,5,29
661,156,165,101,3,71,8,5,7
662,146,146,15,1,9,2,0,0
663,143,168,93,7,46,6,6,17
664,153,153,43,1,20,8,5,8
665,166,178,45,25,20,0,0,0
666,138,138,2,1,0,1,0,0
667,134,134,26,1,11,1,0,2
668,157,157,25,3,0,9,6,6
669,179,180,16,3,0,3,3,6
670,156,156,19,2,0,6,5,6
671,151,157,71,2,41,4,4,20
672,150,150,23,1,8,6,5,3
673,147,150,62,3,35,5,5,14
674,144,148,73,4,18,6,5,5
675,148,148,1,1,0,0,0,0
676,162,163,13,2,9,0,0,2
677,160,161,111,4,36,8,6,23
678,155,161,68,4,34,1,4,20
679,144,153,19,3,4,4,4,4
680,157,162,5,3,0,1,1,0
681,152,152,26,1,18,1,2,0
682,153,156,28,2,18,4,3,0
683,170,170,28,4,9,2,5,5
684,156,163,66,5,56,0,0,2
685,140,140,5,1,1,2,1,0
686,141,144,37,2,12,7,5,9
687,147,152,36,5,17,2,0,1
688,157,157,21,3,9,4,5,0
689,155,160,21,3,9,4,4,1
690,158,158,86,2,45,7,5,27
691,146,148,16,2,1,7,6,0
692,138,154,64,13,18,3,2,21
693,133,148,42,6,1,1,1,0
694,141,149,86,6,33,8,6,2
695,156,156,10,1,2,4,3,0
696,124,124,17,1,6,3,3,4
697,143,151,78,2,57,4,2,5
698,128,128,9,1,0,4,4,0
699,163,163,1,1,0,0,0,0
700,155,155,88,3,29,8,6,41
701,135,135,3,1,0,1,0,0
702,153,153,2,1,0,1,0,0
703,162,170,19,6,11,1,0,0
704,135,135,8,1,0,5,1,0
705,144,144,3,1,0,1,1,0
706,158,170,81,2,19,5,6,8
707,151,167,79,13,2,7,5,7
708,134,144,17,6,5,0,0,0
709,151,151,33,3,10,6,4,2
710,150,150,2,1,0,1,0,0
711,144,144,9,1,1,3,0,0
712,145,153,36,6,10,3,2,15
713,160,163,94,2,52,6,4,29
714,152,155,40,2,31,5,1,1
715,144,144,5,1,1,1,2,0
716,142,167,179,14,99,7,4,4
717,138,138,26,1,9,4,5,5
718,147,163,14,3,0,8,3,0
719,156,156,16,2,0,4,2,8
720,149,149,125,2,71,6,3,7
721,148,160,94,7,64,4,4,11
